album_name,artist,release_date,added_at,album_length,genres
24-24 Music,Dinosaur L,01/01/1981,2022-06-13T16:19:41Z,58.179516666666665,['no wave']
Wowee Zowee,Pavement,1995-04-11,2022-06-13T16:10:08Z,56.18055,"['alternative rock', 'art rock', 'dream pop', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'new wave', 'rock']"
The Rip Tide,Beirut,2011-08-30,2022-06-13T15:44:34Z,33.21501666666666,"['albuquerque indie', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock', 'stomp and holler']"
LC,The Durutti Column,1981-01-01,2022-06-13T15:39:15Z,67.25143333333334,"['art pop', 'art rock', 'dream pop', 'experimental', 'fourth world', 'post-punk', 'uk post-punk']"
Everything But The Girl,Everything But The Girl,1984-09-21,2022-06-13T15:11:27Z,34.69705,"['electronica', 'new wave pop', 'pop rock', 'sophisti-pop', 'trip hop']"
Eccentric Soul: The Outskirts Of Deep City,Various Artists,2007-11-20,2022-06-13T14:09:22Z,68.4996,[]
Ode To Billie Joe,Bobbie Gentry,1967-08-21,2022-06-13T12:47:50Z,30.285016666666667,"['brill building pop', 'classic uk pop', 'country rock', 'folk rock']"
First Thought Best Thought,Arthur Russell,2002-03-04,2022-06-13T12:39:45Z,127.11475,"['art pop', 'art rock', 'cello', 'chamber psych', 'dream pop', 'experimental', 'fourth world', 'minimalism', 'modern cello']"
Underground,Thelonious Monk,1968-04-15,2022-06-10T20:17:26Z,40.47396666666667,"['bebop', 'jazz', 'jazz piano', 'jazz trio']"
On Any Normal Monday,The Cleaners From Venus,01/01/1982,2022-06-10T13:57:36Z,35.6455,"['alternative rock', 'art rock', 'dream pop', 'experimental', 'experimental pop', 'lo-fi', 'post-punk']"
Here Come The Warm Jets,Brian Eno,01/01/1973,2022-06-10T13:27:45Z,42.02725,"['ambient', 'art pop', 'art rock', 'compositional ambient', 'electronica', 'experimental', 'experimental ambient', 'fourth world', 'glam rock', 'minimalism']"
You Can’t Kill Me,070 Shake,2022-06-03,2022-06-04T16:07:26Z,48.87363333333333,"['alternative r&b', 'new jersey rap']"
Blue Bell Knoll,Cocteau Twins,1988-09-19,2022-05-30T11:41:34Z,34.97305,"['alternative rock', 'art pop', 'art rock', 'dream pop', 'ethereal wave', 'melancholia', 'new wave', 'scottish indie', 'shoegaze']"
Dubnobasswithmyheadman (20th Anniversary Remaster),Underworld,1994-01-24,2022-05-30T10:56:30Z,72.84875,"['alternative dance', 'big beat', 'electronica']"
White Ceiling / Black Dots Wandering Around,Parannoul,2022-03-08,2022-05-02T12:34:23Z,46.54691666666667,"['5th wave emo', 'art pop', 'korean indie rock']"
Aethiopes,billy woods,2022-04-08,2022-04-22T12:16:04Z,39.172983333333335,"['alternative hip hop', 'escape room', 'underground hip hop']"
Aventine,Agnes Obel,2013-09-30,2022-04-19T03:56:33Z,44.462783333333334,['chamber pop']
Plonk,Huerco S.,2022-02-25,2022-04-13T21:33:30Z,59.159866666666666,"['ambient', 'art pop', 'deconstructed club', 'drone', 'experimental pop', 'experimental synth', 'float house', 'intelligent dance music', 'microhouse', 'minimal techno', 'new isolationism', 'outsider house']"
76:14,Global Communication,1994-05-10,2022-04-12T22:07:40Z,76.97505,"['ambient', 'ambient house', 'intelligent dance music']"
Still Bill,Bill Withers,1972-05-01,2022-04-08T13:51:39Z,36.71065,"['funk', 'quiet storm', 'soul']"
ANTH01,Jacques Greene,2021-10-22,2022-03-24T19:13:22Z,70.57796666666667,"['canadian electronic', 'electronica', 'float house', 'future garage', 'microhouse', 'uk bass', 'wonky']"
PAINLESS,Nilüfer Yanya,2022-03-04,2022-03-23T14:36:47Z,46.537733333333335,"['art pop', 'chamber psych', 'indie rock', 'uk alternative pop']"
Metro Area (15th Anniversary Edition),Metro Area,2017-10-27,2022-03-12T03:46:04Z,71.50286666666666,['balearic']
